Job_ID,Link of the Job ,Company,Role,Experience,PythonRequired,LinuxRequired,NetworkingRequired,AWSRequired,AzureRequired,DockerRequired,KubernetesRequired,TerraformRequired,CyberSecurityRequired,CommunicationRequired,SalaryLPA
40,https://www.naukri.com/job-listings-associate-devops-engineer-ai-cloud-operations-bacp-crew-mohali-0-to-3-years-120626011344?src=jobsearchDesk&sid=17837787839249077&xp=1&px=1&nignbevent_src=jobsearchDeskGNB,Bacp Crew,Associate DevOps Engineer,0-3,7,8,7,7,7,2,1,1,5,8,1.75–3
41,https://www.naukri.com/job-listings-hybrid-cloud-administrator-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-151025019183,ti Steps,Hybrid Cloud Administrator,0-2,3,7,8,8,8,2,1,2,6,7,2–5
42,https://www.linkedin.com/jobs/view/4437952942,Power Bridge,Cybersecurity L1 SOC Analyst,0-2,2,6,9,2,1,1,1,1,10,8,NA
43,https://www.linkedin.com/jobs/view/4426965838,Talogy,Security Operations Center Analyst,0-2,2,6,8,1,1,1,1,1,10,9,NA
44,https://www.linkedin.com/jobs/view/4330848231,Medpace,Information Security Engineer,0-2,5,4,8,1,7,1,1,1,10,9,NA
45,https://www.linkedin.com/jobs/view/4439306966,Fortuna Cysec,Security Analyst I,0-2,2,5,8,1,1,1,1,1,10,8,NA
46,https://www.linkedin.com/jobs/view/4427555232,Datavail,Associate Information Security and Compliance,0-2,2,3,6,2,2,1,1,1,10,9,NA
47,https://www.linkedin.com/jobs/view/4407216690,MarketVector Indexes,Junior DevOps Engineer,Entry Level,6,8,6,5,8,5,4,3,4,9,NA
48,https://www.linkedin.com/jobs/view/4414646848,Veradigm®,IT Cyber Defense Analyst,Entry Level,2,6,8,2,2,1,1,1,10,8,NA
49,https://www.linkedin.com/jobs/view/4375356251,Value Point Systems Pvt Ltd,SOC Analyst,Entry Level,1,5,8,1,1,1,1,1,10,8,NA
50,https://www.linkedin.com/jobs/view/4436526968,Noventiq India,Cloud Trainee Engineer,Fresher,2,4,6,1,9,1,1,1,2,8,NA
51,https://www.linkedin.com/jobs/view/4435459842,Noventiq India,Security Analyst - L0,Fresher,2,5,7,1,7,1,1,1,10,8,NA
52,https://www.linkedin.com/jobs/view/4425481444,Signant Health,Cloud Operations Engineer - Technology IT,Entry Level,2,7,6,1,9,2,4,1,2,9,NA
53,https://www.linkedin.com/jobs/view/4427330449,UST,Junior Site Reliability Engineer,Entry Level,6,7,7,1,10,3,9,7,2,8,NA
54,https://www.linkedin.com/jobs/view/4408001053,ECI,Security Operations Center Associate,0-1,2,6,10,1,1,1,1,1,10,9,NA
55,https://www.linkedin.com/jobs/view/4408652629,Birlasoft,Engineer - Cybersecurity,Entry Level,2,6,9,1,1,1,1,1,10,8,NA
56,https://www.linkedin.com/jobs/view/4298606084,SCG,Cybersecurity Officer,0-3,2,5,7,1,1,1,1,1,10,8,NA
57,https://www.linkedin.com/jobs/view/4407392227,KubeRox Technologies,Associate Consultant / Consultant (Cloud & Kubernetes),Entry Level,4,8,7,4,4,7,10,1,2,8,NA
58,https://www.linkedin.com/jobs/view/4433105180,Technoidentity,AI DevOps Engineer,0-3,10,6,5,7,7,9,9,7,3,8,NA
59,https://www.linkedin.com/jobs/view/4409277565,NTT DATA North America,SOC Operator,Entry Level,3,6,8,6,7,2,2,1,10,8,NA 
60,https://www.linkedin.com/jobs/view/4433322752,Accelleron,SOC Analyst,0-3,4,6,8,3,8,2,2,1,10,8,NA
61,https://www.linkedin.com/jobs/view/4432218534,Searce Inc,Cloud Operations Engineer,0-1,7,8,8,7,6,2,2,3,7,8,NA
62,https://www.linkedin.com/jobs/view/4432774719,Metasips Private Limited,Cloud Engineer,0-4,8,7,9,10,4,9,9,10,8,8,NA
63,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Infosys,DevOps Engineer,0-1,7,9,8,8,8,8,7,7,3,8,4.50-9.0
64,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Infosys,Site Reliability Engineer,0-1,7,9,9,8,8,8,8,7,3,8,4.50-9.0
65,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Cognizant,DevOps Engineer,0-1,7,9,8,8,8,8,7,7,3,8,4.50-9.0
66,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Cognizant,Site Reliability Engineer,0-1,7,9,9,8,8,8,8,7,3,8,4.50-9.0
67,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,UST,DevOps Engineer,0-1,7,9,8,8,8,8,7,7,3,8,4.50-9.0
68,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,UST,Site Reliability Engineer,0-1,7,9,9,8,8,8,8,7,3,8,4.50-9.0
69,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Wipro,DevOps Engineer,0-1,7,9,8,8,8,8,7,7,3,8,4.50-9.0
70,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Wipro,Site Reliability Engineer,0-1,7,9,9,8,8,8,8,7,3,8,4.50-9.0
71,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Innovature Labs,DevOps Engineer,0-1,7,9,8,8,8,8,7,7,3,8,4.50-9.0
72,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Innovature Labs,Site Reliability Engineer,0-1,7,9,9,8,8,8,8,7,3,8,4.50-9.0
73,https://cloudsoftsol.com/jobs/graduate-site-reliability-engineer-flipkart-bengaluru-2026/,Flipkart,Site Reliability Engineer,0-1,8,10,9,2,1,8,10,8,3,8,18-28
74,https://cloudsoftsol.com/jobs/associate-site-reliability-engineer-razorpay-bengaluru-2026/,Razorpay,Associate Site Reliability Engineer,0-2,8,10,9,9,1,8,10,9,3,8,14-22
75,https://cloudsoftsol.com/jobs/google-cloud-engineer-university-graduate-google-india-2026/,Google India,Google Cloud – Customer Engineer,0-1,8,7,8,2,2,5,8,8,5,10,22-34
76,https://cloudsoftsol.com/jobs/azure-graduate-engineer-microsoft-india-hyderabad-2026/,Microsoft India,Azure Graduate Engineer,0-1,8,6,9,1,10,5,9,4,6,10,18-28
77,https://cloudsoftsol.com/jobs/aws-cloud-support-associate-graduate-amazon-bengaluru-2026/,Amazon Web Services,AWS Cloud Support Associate,0-1,8,10,10,10,1,3,2,2,4,10,8-14
78,https://cloudsoftsol.com/jobs/tech-mahindra-istio-service-mesh-devops-fresher-hyderabad-june-2026/,Tech Mahindra,Istio Service Mesh DevOps Fresher Trainee,0-1,8,9,10,7,7,8,10,2,8,7,4.8-7.2
79,https://cloudsoftsol.com/jobs/mindtree-argo-cd-helm-devops-fresher-internship-bengaluru-june-2026/,Mindtree,Argo CD + Helm DevOps Fresher Internship,0-1,7,9,6,7,7,9,10,9,5,7,1.32-2.40 
80,https://cloudsoftsol.com/jobs/v-solutions-cloud-devops-intern-hyderabad-2026/,V Solutions Inc,Cloud & DevOps Intern,Fresher,8,9,7,8,8,9,9,9,6,8,NA
81,https://cloudsoftsol.com/jobs/hexaware-crossplane-backstage-platform-engineer-fresher-chennai-june-2026/,Hexaware,Crossplane + Backstage Platform Engineer Fresher,Fresher,7,8,6,8,8,7,10,9,3,8,1.32-2.40
82,https://cloudsoftsol.com/jobs/mphasis-opentelemetry-observability-sre-fresher-bengaluru-june-2026/,Mphasis,OpenTelemetry + Observability SRE Fresher,Fresher,8,9,8,5,4,6,8,3,5,8,5.4-8.0
83,https://cloudsoftsol.com/jobs/sopra-steria-gitops-engineer-fresher-internship-noida-june-2026/,Sopra Steria,GitOps + Argo CD Engineer ,Fresher,6,8,6,7,7,8,10,8,6,8,1.20–2.16 
84,https://cloudsoftsol.com/jobs/ltimindtree-multi-cloud-security-fresher-pune-june-2026/,LTIMindtree,Multi-Cloud Security Engineer,Fresher,8,8,8,9,9,7,7,8,10,8,1.44–2.40 
85,https://cloudsoftsol.com/jobs/tcs-mlops-engineer-fresher-internship-chennai-june-2026/,TCS,MLOps Engineer,Fresher,10,8,5,9,8,8,9,7,2,8,1.20-2.40
86,https://cloudsoftsol.com/jobs/ibm-finops-cloud-cost-fresher-internship-chennai-june-2026/,IBM,FinOps + Cloud Cost Optimisation,Fresher,6,3,2,9,8,1,2,1,2,9,1.20-2.40
87,https://cloudsoftsol.com/jobs/infosys-platform-engineering-kubernetes-fresher-mysore-june-2026/,Infosys,Platform Engineering + Kubernetes,Fresher,8,8,5,8,1,7,10,8,2,8,"96,000–1.80"
88,https://cloudsoftsol.com/jobs/wipro-aiops-sre-fresher-trainee-bengaluru-june-2026/,Wipro,AIOps + SRE,Fresher,9,9,6,7,1,2,2,1,5,9,4.80–7.00
89,https://cloudsoftsol.com/jobs/hcltech-azure-devops-sre-fresher-trainee-noida-june-2026/,HCLTech,Azure DevOps Engineer,Fresher,8,8,6,1,10,8,9,3,3,8,4.5-8.0
90,https://cloudsoftsol.com/jobs/capgemini-sre-devops-fresher-trainee-mumbai-noida-june-2026/,Capgemini,Site Reliability Engineer (SRE) & DevOps Fresher Trainee,0-1,9,9,8,9,9,8,9,9,4,9,4–8
91,https://cloudsoftsol.com/jobs/accenture-gcp-devops-sre-internship-delhi-ncr-june-2026/,Accenture,Google Cloud (GCP) DevOps & SRE Internship,0-1,8,8,7,1,1,8,9,9,3,8,1.08–1.80
92,https://cloudsoftsol.com/jobs/cognizant-multi-cloud-devops-fresher-internship-kolkata-june-2026/,Cognizant,Multi-Cloud (AWS + Azure + GCP) DevOps,0-1,8,8,7,8,8,8,9,9,3,8,0.84–1.56
93,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Persistent / TCS / Cognizant / Robert Bosch / Zensar,DevOps Engineer / Site Reliability Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
94,https://cloudsoftsol.com/jobs/multi-cloud-devops-fresher-trainee-zensar-bajaj-finserv-pune-june-2026/,Zensar Technologies,Multi-Cloud DevOps Fresher Trainee,0-1,8,8,7,7,7,8,7,8,5,8,4.50 – 8.00 
95,https://cloudsoftsol.com/jobs/gcp-devops-sre-fresher-internship-cognizant-bosch-coimbatore-june-2026/,Cognizant,Google Cloud (GCP) DevOps & SRE Intern,0-1 ,7,8,6,1,1,8,8,7,2,8,0.84 – 1.56
96,https://cloudsoftsol.com/jobs/gcp-devops-sre-fresher-internship-cognizant-bosch-coimbatore-june-2026/,Cognizant,GCP DevOps Engineer,0-1,7,8,6,1,1,8,8,7,2,8,0.84–1.56
97,https://cloudsoftsol.com/jobs/gcp-devops-sre-fresher-internship-cognizant-bosch-coimbatore-june-2026/,Cognizant,Site Reliability Engineer,0-1,7,8,6,1,1,8,8,7,2,8,0.84–1.56
98,https://cloudsoftsol.com/jobs/gcp-devops-sre-fresher-internship-cognizant-bosch-coimbatore-june-2026/,Robert Bosch Partners,GCP DevOps Engineer,0-1,7,8,6,1,1,8,8,7,2,8,0.84–1.56
99,https://cloudsoftsol.com/jobs/gcp-devops-sre-fresher-internship-cognizant-bosch-coimbatore-june-2026/,Robert Bosch Partners,Site Reliability Engineer,0-1,7,8,6,1,1,8,8,7,2,8,0.84–1.56
100,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Persistent ,DevOps Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
101,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,TCS,DevOps Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
102,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Cognizant,DevOps Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
103,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Robert Bosch Partners,DevOps Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
104,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Zensar,DevOps Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
105,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Persistent ,Site Reliability Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
106,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,TCS,Site Reliability Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
107,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Robert Bosch Partners,Site Reliability Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
108,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Zensar,Site Reliability Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
109,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Cognizant,Site Reliability Engineer,0-1,8,9,8,8,8,8,8,7,3,8,4.00 – 8.50
110,https://cloudsoftsol.com/jobs/azure-devops-engineer-sre-fresher-ahmedabad-tcs-adani-digital-june-2026/,TCS,Azure DevOps Engineer,0-1,5,8,6,1,9,6,8,2,2,8,4.20 – 7.50
111,https://cloudsoftsol.com/jobs/azure-devops-engineer-sre-fresher-ahmedabad-tcs-adani-digital-june-2026/,Adani Digital Partners,Azure DevOps Engineer,0-1,5,8,6,1,9,6,8,2,2,8,4.20 – 7.50
112,https://cloudsoftsol.com/jobs/azure-devops-engineer-sre-fresher-ahmedabad-tcs-adani-digital-june-2026/,TCS,Site Reliability Engineer,0-1,5,8,6,1,9,6,8,2,2,8,4.20 – 7.50
113,https://cloudsoftsol.com/jobs/azure-devops-engineer-sre-fresher-ahmedabad-tcs-adani-digital-june-2026/,Adani Digital Partners,Site Reliability Engineer,0-1,5,8,6,1,9,6,8,2,2,8,4.20 – 7.50
114,https://cloudsoftsol.com/jobs/aws-devops-internship-cognizant-itc-infotech-kolkata-june-2026/,ITC Infotech Partners,AWS DevOps Engineer,0-1,7,7,6,10,2,7,6,7,4,7,0.96–1.68
115,https://cloudsoftsol.com/jobs/aws-devops-internship-cloud-soft-solutions-hyderabad-june-2026/,Cloud Soft Solutions,AWS DevOps Engineer,0-1,8,8,6,10,3,7,6,7,5,8,0.96–1.44
116,https://cloudsoftsol.com/jobs/aws-devops-internship-persistent-atos-pune-june-2026/,Persistent Systems,AWS DevOps Engineer,0-1,8,8,6,10,3,8,7,8,5,8,1.08–1.92
117,https://cloudsoftsol.com/jobs/aws-devops-internship-persistent-atos-pune-june-2026/,Atos Partners, AWS DevOps Engineer ,0-1,8,8,6,10,3,8,7,8,5,8,1.08–1.92
118,https://cloudsoftsol.com/jobs/gcp-devops-sre-fresher-internship-infosys-bhubaneswar-june-2026/,Local Tech Parks,Google Cloud (GCP) DevOps & SRE,0-1,7,8,6,2,2,7,7,8,4,7,0.84–1.44
119,https://cloudsoftsol.com/jobs/multi-cloud-devops-fresher-internship-tensorgo-pgsn-hyderabad-june-2026/,TensorGo Technologies,Multi-Cloud (AWS + Azure + GCP) DevOps / SRE,0-1,7,8,6,8,8,8,7,7,4,7,0.96–1.80
120,https://cloudsoftsol.com/jobs/multi-cloud-devops-fresher-internship-tensorgo-pgsn-hyderabad-june-2026/,Pgsn Soft Tech,Multi-Cloud (AWS + Azure + GCP) DevOps / SRE,0-1,7,8,6,8,8,8,7,7,4,7,0.96–1.80
121,https://cloudsoftsol.com/jobs/multi-cloud-devops-fresher-internship-ust-ibs-software-trivandrum-june-2026/,IBS Software,Multi-Cloud (AWS + Azure + GCP) DevOps Internship,0-1,7,8,6,8,8,8,7,8,4,7,0.90–1.56
122,https://cloudsoftsol.com/jobs/shyena-tech-yarns-devops-intern-aws-gcp-azure-fresher-pune-2026/,Shyena Tech Yarns Pvt Ltd,DevOps,0-1,8,8,6,9,8,9,9,9,4,7,4.0-7.0
123,https://cloudsoftsol.com/jobs/futops-technologies-python-aws-trainee-internship-fresher-pune-2026/,Futops Technologies India Pvt Ltd,Python + AWS Trainee,0-1,10,8,6,10,1,2,1,1,2,8,3-4
124,https://cloudsoftsol.com/jobs/radical-technologies-cloud-devops-internship-fresher-pune-multicity-2026/,Radical Technologies,Cloud / DevOps,0-1,7,8,6,9,9,9,9,9,2,8,4-7
125,https://cloudsoftsol.com/jobs/universal-printers-aws-devops-internship-fresher-cloud-pune-2026/,Universal Printers,AWS DevOps Engineer,0-1,7,8,6,10,1,8,1,1,2,8,4-6
126,https://cloudsoftsol.com/jobs/roxiler-systems-aws-devops-engineer-internship-fresher-pune-2026/,Roxiler Systems,AWS DevOps Engineer,0-1,8,9,7,10,2,9,9,9,2,8,6-9
127,https://cloudsoftsol.com/jobs/gcp-associate-cloud-engineer-searce-pune-2026/,Searce Inc,Associate Cloud Engineer – Google Cloud,0-2,8,6,8,1,1,2,9,9,2,9,6-10
128,https://cloudsoftsol.com/jobs/azure-associate-trainee-accenture-bengaluru-2026/,Accenture India,Azure Cloud Associate – Trainee,0-1 ,5,6,9,1,10,2,2,8,3,9,4-6
129,https://cloudsoftsol.com/jobs/associate-cloud-engineer-aws-track-tcs-fresher-2026/,Tata Consultancy Services (TCS),Associate Cloud Engineer – AWS Track,0-1 ,7,9,8,10,1,2,2,1,3,8,4-7
130,https://cloudsoftsol.com/jobs/junior-devops-engineer-trainee-ibm-india/,IBM India,Junior DevOps Engineer / Trainee,0-1 ,6,8,7,8,2,7,8,8,8,8,4-7
131,https://cloudsoftsol.com/jobs/entry-level-devops-engineer-comprinno-pune/,Comprinno Technologies,Entry-Level DevOps Engineer,0-1 ,8,9,7,9,7,9,10,10,6,8,3-6
132,https://cloudsoftsol.com/jobs/devops-intern-techment-pan-india/,Techment,DevOps Intern (Pan-India),0-1 ,7,9,7,8,8,7,6,7,2,8,3-5
133,https://www.linkedin.com/posts/komal-prajapati01_apply-interested-share-7481378094734389248-vrfY/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Capgemini,Cloud Security Engineer,Fresher,5,9,8,9,6,7,9,5,8,8,9.61
134,https://in.indeed.com/jobs?q=Cybersecurity+Analyst+Entry+Level&l=&from=searchOnDesktopSerp&vjk=af6342e7b35f24eb,HCL,Cloud Engineer,Fresher,7,10,8,7,9,9,5,7,7,8,5.42
135,https://in.indeed.com/jobs?q=Cybersecurity+Analyst+Entry+Level&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&start=10&vjk=07e689de2f8e4ea4,Wipro,Cloud Engineer,Fresher,6,7,8,8,5,6,6,5,7,8,9.26
